timestamp,sensor_id,value,unit
2025-05-06T18:47:15.572361,T001,15.39,°C
2025-05-06T18:47:15.572361,H001,61.16,%
2025-05-06T18:47:15.573361,L001,63.33,lx
2025-05-06T18:47:15.573361,AQ001,99.11,AQI
2025-05-06T18:47:16.574220,T001,16.01,°C
2025-05-06T18:47:16.574220,H001,59.88,%
2025-05-06T18:47:16.574220,L001,60.91,lx
2025-05-06T18:47:16.575141,AQ001,104.17,AQI
2025-05-06T18:47:17.575865,T001,16.8,°C
2025-05-06T18:47:17.575865,H001,58.41,%
2025-05-06T18:47:17.575865,L001,0,lx
2025-05-06T18:47:17.575865,AQ001,144.54,AQI
2025-05-06T18:47:18.577941,T001,17.18,°C
2025-05-06T18:47:18.577941,H001,58.05,%
2025-05-06T18:47:18.577941,L001,5.34,lx
2025-05-06T18:47:18.577941,AQ001,134.73,AQI
2025-05-06T18:47:19.579146,T001,18.4,°C
2025-05-06T18:47:19.579146,H001,57.12,%
2025-05-06T18:47:19.579146,L001,0,lx
2025-05-06T18:47:19.579146,AQ001,134.78,AQI
2025-05-06T18:47:20.580327,T001,17.25,°C
2025-05-06T18:47:20.581375,H001,58.66,%
2025-05-06T18:47:20.582356,L001,99.49,lx
2025-05-06T18:47:20.582356,AQ001,138.86,AQI
2025-05-06T18:47:21.583922,T001,17.35,°C
2025-05-06T18:47:21.583922,H001,58.5,%
2025-05-06T18:47:21.583922,L001,166.41,lx
2025-05-06T18:47:21.583922,AQ001,147.43,AQI
2025-05-06T18:47:22.585641,T001,18.06,°C
2025-05-06T18:47:22.586642,H001,56.65,%
2025-05-06T18:47:22.587641,L001,200,lx
2025-05-06T18:47:22.588641,AQ001,144.81,AQI
2025-05-06T18:47:23.591136,T001,17.33,°C
2025-05-06T18:47:23.592094,H001,57.81,%
2025-05-06T18:47:23.593094,L001,186.5,lx
2025-05-06T18:47:23.594092,AQ001,136.42,AQI
2025-05-06T18:47:24.596103,T001,15.52,°C
2025-05-06T18:47:24.597104,H001,59.13,%
2025-05-06T18:47:24.598103,L001,200,lx
2025-05-06T18:47:24.599104,AQ001,134.56,AQI
2025-05-06T18:49:04.903731,T001,35,°C
2025-05-06T18:49:04.903731,H001,59.72,%
2025-05-06T18:49:04.903731,L001,4429.78,lx
2025-05-06T18:49:04.903731,AQ001,209.67,AQI
2025-05-06T18:49:05.905958,T001,33.85,°C
2025-05-06T18:49:05.905958,H001,61.25,%
2025-05-06T18:49:05.905958,L001,4387.68,lx
2025-05-06T18:49:05.906863,AQ001,216.04,AQI
2025-05-06T18:49:06.907490,T001,35,°C
2025-05-06T18:49:06.907490,H001,60.08,%
2025-05-06T18:49:06.907490,L001,4472.08,lx
2025-05-06T18:49:06.907490,AQ001,218.97,AQI
2025-05-06T18:49:07.909339,T001,35,°C
2025-05-06T18:49:07.910374,H001,60.1,%
2025-05-06T18:49:07.911374,L001,4374.89,lx
2025-05-06T18:49:07.912376,AQ001,221.81,AQI
2025-05-06T18:49:08.915031,T001,33.32,°C
2025-05-06T18:49:08.916034,H001,60.76,%
2025-05-06T18:49:08.917071,L001,4363.12,lx
2025-05-06T18:49:08.918071,AQ001,231.2,AQI
2025-05-06T18:49:09.920208,T001,34.18,°C
2025-05-06T18:49:09.921210,H001,58.77,%
2025-05-06T18:49:09.922208,L001,4342.0,lx
2025-05-06T18:49:09.923208,AQ001,230.01,AQI
2025-05-06T18:49:10.924958,T001,32.45,°C
2025-05-06T18:49:10.925914,H001,59.34,%
2025-05-06T18:49:10.926914,L001,4319.04,lx
2025-05-06T18:49:10.927914,AQ001,227.26,AQI
2025-05-06T18:49:11.930576,T001,32.02,°C
2025-05-06T18:49:11.930576,H001,59.08,%
2025-05-06T18:49:11.931552,L001,4255.74,lx
2025-05-06T18:49:11.932552,AQ001,233.56,AQI
