TIMESTAMP,SENSOR_ID,VALUE,UNIT
2025-05-07T16:27:48.809631,H001,64.32,%
2025-05-07T16:27:48.809687,L001,6952.11,lx
2025-05-07T16:27:48.809722,AQ001,301.58,AQI
2025-05-07T16:27:49.810229,T001,21.17,°C
2025-05-07T16:27:49.810374,H001,64.69,%
2025-05-07T16:27:49.810439,L001,6932.72,lx
2025-05-07T16:27:49.810528,AQ001,266.73,AQI
2025-05-07T16:27:50.810832,T001,23.06,°C
2025-05-07T16:27:50.810886,H001,64.14,%
2025-05-07T16:27:50.810901,L001,6880.32,lx
2025-05-07T16:27:50.810917,AQ001,274.26,AQI
2025-05-07T16:27:51.811530,T001,22.0,°C
2025-05-07T16:27:51.811690,H001,66.03,%
2025-05-07T16:27:51.811753,L001,6798.38,lx
2025-05-07T16:27:51.811806,AQ001,267.14,AQI
2025-05-07T16:27:52.812498,T001,23.08,°C
2025-05-07T16:27:52.812670,H001,64.25,%
2025-05-07T16:27:52.812735,L001,6781.94,lx
2025-05-07T16:27:52.812789,AQ001,263.48,AQI
2025-05-07T16:27:53.813681,T001,24.95,°C
2025-05-07T16:27:53.813869,H001,63.24,%
2025-05-07T16:27:53.813971,L001,6753.56,lx
2025-05-07T16:27:53.814055,AQ001,273.22,AQI
2025-05-07T16:27:54.814668,T001,25.35,°C
2025-05-07T16:27:54.814811,H001,63.49,%
2025-05-07T16:27:54.814868,L001,6817.15,lx
2025-05-07T16:27:54.814917,AQ001,278.7,AQI
2025-05-07T16:27:55.815954,T001,25.01,°C
2025-05-07T16:27:55.816103,H001,63.95,%
2025-05-07T16:27:55.816162,L001,6885.46,lx
2025-05-07T16:27:55.816210,AQ001,284.16,AQI
2025-05-07T16:27:56.816954,T001,25.19,°C
2025-05-07T16:27:56.817097,H001,64.3,%
2025-05-07T16:27:56.817155,L001,6793.37,lx
2025-05-07T16:27:56.817202,AQ001,280.83,AQI
2025-05-07T16:27:57.817883,T001,25.25,°C
2025-05-07T16:27:57.818019,H001,64.06,%
2025-05-07T16:27:57.818075,L001,6869.29,lx
2025-05-07T16:27:57.818121,AQ001,273.12,AQI
----- KONIEC SESJI -----
