TIMESTAMP,SENSOR_ID,VALUE,UNIT,MESSAGE
2025-05-23T15:19:02.044818,SYSTEM,0.0,LOG,INFO,Łączenie z 127.0.0.1:8080...
2025-05-23T15:19:02.045789,SYSTEM,0.0,LOG,INFO,Połączenie nawiązane.
2025-05-23T15:19:02.045789,SYSTEM,0.0,LOG,INFO,"Wysyłanie pakietu: {'sensor_id': 'T001', 'timestamp': '2025-05-23T15:19:02.045789', 'value': 25.99, 'unit': '°C'} (próba 1)"
2025-05-23T15:19:07.058324,SYSTEM,0.0,LOG,ERROR,Błąd wysyłania/odbioru: timed out (próba 1)
2025-05-23T15:19:07.560689,SYSTEM,0.0,LOG,ERROR,Wyczerpano limit prób wysyłki.
2025-05-23T15:19:07.560689,T001,25.99,°C
2025-05-23T15:19:07.560689,SYSTEM,0.0,LOG,INFO,"Wysyłanie pakietu: {'sensor_id': 'H001', 'timestamp': '2025-05-23T15:19:07.560689', 'value': 61.12, 'unit': '%'} (próba 1)"
2025-05-23T15:19:12.567141,SYSTEM,0.0,LOG,ERROR,Błąd wysyłania/odbioru: timed out (próba 1)
2025-05-23T15:19:13.069691,SYSTEM,0.0,LOG,ERROR,Wyczerpano limit prób wysyłki.
2025-05-23T15:19:13.071307,H001,61.12,%
2025-05-23T15:19:13.072185,SYSTEM,0.0,LOG,INFO,"Wysyłanie pakietu: {'sensor_id': 'L001', 'timestamp': '2025-05-23T15:19:13.072185', 'value': 2911.55, 'unit': 'lx'} (próba 1)"
2025-05-23T15:19:18.076701,SYSTEM,0.0,LOG,ERROR,Błąd wysyłania/odbioru: timed out (próba 1)
2025-05-23T15:19:18.578785,SYSTEM,0.0,LOG,ERROR,Wyczerpano limit prób wysyłki.
2025-05-23T15:19:18.578785,L001,2911.55,lx
2025-05-23T15:19:18.578785,SYSTEM,0.0,LOG,INFO,"Wysyłanie pakietu: {'sensor_id': 'AQ001', 'timestamp': '2025-05-23T15:19:18.578785', 'value': 339.18, 'unit': 'AQI'} (próba 1)"
